Model,R2,MAE,RMSE,MAPE,MdAPE
Week 6 Linear Regression,0.3541387803170456,437134.80405449454,1348581.2670578691,46.68353865087838,21.84095349766024
Week 7 XGBoost,-1.7405010846686717,236065.40401878534,2777937.7377303275,27.309753105246408,7.7436597222222225
